x,y,z
506710.75,5259810.66,298
512399.17,5267430.93,82
510492.55,5264962.89,26
509463.93,5258854.77,255
514663.09,5268092.82,0
514781.27,5263453.8,591
513093.62,5258703.7,458
514746.43,5261754.91,466
509556.35,5260502.89,141
514839.21,5267460.15,0
509316.79,5261364.07,103
513175.32,5267905.66,100
514193.25,5265111.95,231
506781.73,5264134.59,35
515241.52,5265619.5,279
506096.32,5265259.06,98
510501.51,5263076.68,78
514026.29,5259648.74,201
508910.29,5264782.56,40
511126.24,5268101.43,270
509709.09,5267371.17,413
513840.61,5261489.91,269
512214,5262958.91,268
514000.41,5266944.55,0
511531.37,5262092,183
513129.42,5260920.95,93
514584.79,5261071.02,297
505990.89,5262011.68,169
512824.24,5261171.91,103
510754.75,5262862.95,108
506448.4,5264548.92,88
514002.36,5259042.93,439
514557.02,5267470.25,0
505574.93,5261264.49,132
510670.02,5261459.3,90
512031.35,5266963.78,66
509432.61,5266110.85,293
508207.75,5260460.42,328
514398.11,5268035.84,0
513081.61,5264107.06,468
515053.38,5258406.42,236
505524.52,5267357.28,112
505463.95,5260609.35,252
509476.97,5264916.22,47
511606.28,5260068.78,126
507242.8,5264904.51,185
512365.6,5263404.3,396
514990.79,5265123.3,397
505510.66,5266366.47,170
505201.47,5258694,202
508279.46,5266243.04,291
512973.84,5266146.75,28
514609.03,5265612.65,382
514146.76,5264567.12,467
510104.66,5261514.54,83
509045.79,5268376.13,589
506119.74,5262350.06,139
513142.23,5258348.72,540
508178.37,5262729.16,57
514089.13,5264487.35,486
515251.43,5263080.41,648
506660.6,5262400.86,108
508360.97,5258888.3,185
508721.86,5265470.58,132
512778.62,5267688.49,46
515214.69,5266727.79,90
514165.76,5265001.44,280
514222.71,5267979.73,0
508016.61,5266951.7,528
509578.37,5258606.41,292
507738.51,5261458.08,244
511770.61,5260206.59,118
512110.49,5258770.97,249
515200.83,5263002.9,639
506670.21,5263835.47,2
511617.81,5261344.92,58
511330.24,5258426.78,384
507716.99,5261423.75,250
514306.87,5258829.61,410
507796.92,5261529.32,189
510660.54,5263218.59,117
513538.19,5266070.61,94
507104.64,5267494.64,454
506823.92,5258802.36,249
509654.58,5260875.29,115
514743.38,5259943.31,256
513662.77,5266053.48,150
510837.3,5261328.47,92
514341.26,5261348.74,318
511543.1,5265020.47,0
510500.45,5260313.22,180
508270.4,5267887.11,573
508429.25,5266526.39,335
508791.92,5262096.52,87
509831,5261027.33,125
512460.63,5258966.79,288
509133.64,5265296.5,101
508123.76,5262715.57,51
513241.12,5263234.67,434
510360.95,5261299.51,77
511562.22,5266678.26,102
511277.21,5262805.61,190
514632.26,5262154.11,503
511440.7,5266432.44,92
512607.5,5263724.92,429
512194.98,5265502.93,60
512473.85,5261455.83,178
508761.3,5267810.38,602
512984.62,5264712.78,371
510355.11,5258981.68,179
510325.17,5259479.76,202
513999.24,5264039.5,515
508154.09,5264891.81,160
514884.99,5265527.17,254
505090.42,5267207.07,94
510994.79,5264708.05,0
514873,5266137.88,134
510631.22,5264796.73,8
507570.89,5266523.5,459
511820.47,5265582.48,0
512413.83,5262222.25,254
509807.33,5258644.79,309
507842.15,5267954.09,528
509588.11,5261789.91,82
508425.68,5260940.12,235
511811.4,5261299.46,62
513792.59,5259974.62,187
506852.76,5267163.97,405
509418.05,5266213.65,291
513789.56,5267733.16,3
514324.65,5259699.84,164
513730.66,5263714.67,583
512933.27,5258734.69,384
507767.57,5266901.57,501
506807.96,5263603.08,28
509780.7,5262792.51,39
506671.89,5267624.26,334
509681.87,5268065.7,510
511604.07,5262037.94,161
510102.69,5266546.02,296
511052.06,5259169.29,317
506899.68,5258378.68,219
512233.32,5267920.93,161
509307.01,5266684.6,322
509925.63,5258725.03,287
513254.99,5260047.23,202
507576.52,5260597.23,333
510050.93,5263515.91,48
510422.45,5264709.64,0
507104.64,5261546.26,118
515199.5,5265246.04,320
507196.17,5258468.53,263
510143.72,5258331,265
507824.95,5260874.81,233
512080.28,5260352.08,161
508611.18,5259831.22,134
513356.41,5259833.91,266
509616.1,5267467.45,399
510221.31,5262076.06,29
510863.88,5267716.93,311
515150.51,5267095.56,71
514696.78,5266422.71,218
513366.52,5267647.17,34
508711.29,5268231.15,573
514937.78,5265742.63,252
508610.55,5263184.56,6
505028.51,5259285.94,129
505629.85,5262969.23,24
512959.07,5261799.79,157
512988.37,5267125.24,12
514476.61,5262070.78,489
511960.41,5258290.36,319
507959.67,5264958.98,191
509643.04,5262814.36,49
514613.47,5266963.97,83
512519.15,5259732.59,252
512158.99,5259441.52,260
506805.04,5263086.14,30
510085.26,5266913.39,353
508021.39,5262168.38,82
509571.98,5264594.56,4
513532.75,5267671.1,19
509134.52,5264183.56,1
505766.5,5261667.53,96
510251.51,5266032.89,164
511377.62,5262098.73,195
508494.53,5262355.4,101
509347.59,5259937.3,163
512207.31,5267304.66,92
510023.92,5261050.43,135
513420.01,5262195.66,189
508218.47,5268121.01,550
515281.06,5263094.97,655
507953.54,5265650.5,218
514380.11,5263163,388
507869.5,5265494.03,253
510437.34,5260446.12,172
509233.54,5268306.28,629
511899.89,5262604.96,195
510590.64,5261438.57,92
514723.39,5260782.26,318
511599.86,5263402.14,272
508196.34,5262233.06,60
505815.73,5259267.45,129
507116.5,5261401.83,140
507381.82,5259150.27,340
515093.69,5260282.6,401
505711.57,5262353.75,81
513343.55,5263736.67,497
506899.13,5261670.75,121
507099.82,5261989.21,114
507006.57,5265458.08,240
510197.28,5260137.17,199
512372.59,5264139.14,277
511870.96,5263945.98,200
505623.06,5260088.85,233
508556.85,5267976.23,585
511543.89,5263453.61,252
513983.45,5264581.51,420
511817.89,5264313.67,182
505533.58,5266572.04,135
505833.64,5260130.26,297
513765.81,5262724.53,273
513022.09,5262278.59,267
510752.69,5259162.62,225
506710.19,5267971.11,265
510786.44,5263081.11,125
513477.57,5263645.39,545
509758.02,5260720.74,114
513707.4,5267109.82,0
506405.63,5264839.86,47
509994.52,5258327.57,290
510258.38,5262364.92,40
514527.03,5266900.27,79
513887.95,5265948,205
509186.86,5266401.08,318
506121.33,5258704.21,227
505997.26,5263484.77,20
506308.69,5262348.63,156
511554.22,5267958.54,266
505504.56,5259938.22,227
505808.36,5263909.43,4
506090.95,5268354.9,127
505135.24,5267129.41,97
511178.79,5264746.57,0
511353.16,5265608.23,4
508846.69,5265062.11,51
506314.46,5261047.63,190
511099.8,5261293.57,93
512951.13,5263742.23,423
509235.7,5266526.61,328
507831.59,5263012.83,30
508789.8,5263598.05,0
505599.48,5267822.17,119
505469.63,5268221.91,109
514398.95,5265052.25,367
510946.85,5267393.63,284
515008.75,5260639.91,406
511925.16,5265533.07,7
511105.15,5263726.81,158
514153.4,5259820.23,133
511464.47,5264140.84,142
514358.98,5264945.26,350
513799.75,5264529.96,332
508221.26,5266754.65,417
508751.42,5262788.43,140
508455.03,5266395.78,288
507569.15,5265130.3,237
512997.83,5264016.03,438
507145.38,5265043.31,174
509254.44,5263358.74,3
511573.77,5264781.19,0
511544.09,5260291.25,122
507966.56,5262437.94,69
515092.85,5263258.06,622
513584.73,5260652.94,118
509506.01,5263044.38,35
508574.5,5264045.44,10
513302.13,5259832.76,254
512471.8,5264264.16,204
511063.94,5264732.8,0
505851.97,5267500.13,186
510601.46,5267134.85,308
